"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"550",0,0,0,0.000176452042061879,0,0,0.0304575009490961,0,0,0,0,0,0.0033171163202123,0,0.000420462958595683,0.000156846259610559,0,0,0,0,0,0,0,0,0,0,0,0.000401495155286981,0,0.000781307187334425,0,0,0,0,0,0,0,1.96057824513199e-05,"550","HHAL",333,33600,8,0.716646196142594
"551",0,0,0,0,0,0,0.305959461204741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"551","HHAL",16,16800,1,0.999999999999999
"552",0,0,0,0,0,0,0.348604473307195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"552","HHAL",61,21000,1,0.999999999999997
"553",0,0,0,0,0,0,0.102509401349868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"553","HHAL",7,16800,1,0.999999999999997
"554",0,0,0,0,0,0,0.0257155327981724,0,0.000328183749728615,0,0,0,0,0,0.000918768466495118,0,0,0,0,0,0,0,0,0,0,0.00065636749945723,0,0,0.00664030200646006,0,0.00210237463132092,0,0,0,0,0,0,0,"554","HHAL",214,29400,6,0.466916590673131
"555",0.0015937977710638,0,0,0,0.0105693957449494,0,0.0265480900524625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00260040688963041,0,0,0,0,0,0,0,0,0,0,0.00191580336911776,0,0,0,"555","HHAL",134,12600,5,0.331365664146805
"556",0,0,0,0,0,0,0.00747675481284682,0,0,0,0,0,0,0,0.00561716809539004,0,0,0,0,0,0,0,0,0.000179271493736092,0,0,0,0,0.000828203075394087,9.87363332379892e-05,0,0,0,0,0,0,0,0,"556","HHAL",229,29400,5,0.321319208720122
"557",0,0,0,0,0,0,0.456196950398443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"557","HHAL",15,21000,1,0.999999999999997
"558",5.34072611586662e-05,0,0,0,0,0,0.00700878414077167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017307908708827,0,0.000852946058105874,0,0,0.00119627957053563,0.00012657975339097,0.00012657975339097,0,0,0,3.49839039104966e-05,0,0,0,"558","HHAL",746,21000,8,0.323005693403452
"559",0,0,0,0,0,0,0.0104367448559536,0,0,0,0,0,0,0.00132100396301189,0,0.00206270627062706,0,0,0,0,0,0,0,0.0190852749526123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"559","HHAL",226,29400,4,0.32928731397387
"560",0,0,0.000153373475309682,0,0,0,0.025620999987774,0,0,0,0,0,0,0,0.000362717018727264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000775915580384854,0,0,0,0,0,0,0,0,0,"560","HHAL",859,33600,4,0.905505240443915
"492",0,0,0,0,0,0,2.40700673464199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"492","HHAL",4,8400,1,1
"542",0,0,0,0,0,0,0.104056097680012,0.00160051175925428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"542","HHAL",48,21000,2,0.970083856585375
